ref	word	root	lemma	b1_huruf	b2_sarfi	b3_nahwi	b4_dalali	b5_all	wazn	bab	same_lemma_nazair	root_occurrences	has_asl
7:112:2	بِكُلِّ	كلل	كل	1	1	1	1	1	فُعّ		359	377	0
7:112:3	سَٰحِرٍ	سحر	سحر	1	1	1	1	1	فَاعِل		55	63	1
7:112:4	عَلِيمٍ	علم	عليم	1	1	1	1	1	فَعِيل		162	854	1
7:113:1	وَجَآءَ	جيا	جاء	1	1	1	1	1	فَعَل	فَعَلَ	277	278	0
7:113:2	ٱلسَّحَرَةُ	سحر	سحر	1	1	1	1	1	فَعَلَة		55	63	1
7:113:4	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:113:7	لَأَجْرًا	اجر	اجر	1	1	1	1	1	فَعْلًا		104	108	1
7:113:9	كُنَّا	كون	كان	1	1	1	1	1	فُنَّعَ	فَعَلَ	1357	1390	1
7:113:11	ٱلْغَٰلِبِينَ	غلب	غالب	1	1	1	1	1	فَاعِلِين		12	31	1
7:114:1	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:114:5	ٱلْمُقَرَّبِينَ	قرب	مقربون	1	1	1	1	1	مُفَعَّلِين		7	96	1
7:115:1	قَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:115:5	تُلْقِىَ	لقي	القى	1	1	1	1	1	تُفْعِل	أَفْعَلَ	70	146	1
7:115:8	نَّكُونَ	كون	كان	1	1	1	1	1	نَفُعل	فَعَلَ	1357	1390	1
7:115:10	ٱلْمُلْقِينَ	لقي	ملقون	1	1	1	1	1	مُفْعِلن		2	146	1
7:116:1	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:116:2	أَلْقُوا۟	لقي	القى	1	1	1	1	1	أَفْعُوا	أَفْعَلَ	70	146	1
7:116:4	أَلْقَوْا۟	لقي	القى	1	1	1	1	1	أَفْعَوْا	أَفْعَلَ	70	146	1
7:116:5	سَحَرُوٓا۟	سحر	سحر	1	1	1	1	1	فَعَلُوا	فَعَلَ	55	63	1
7:116:6	أَعْيُنَ	عين	عين	1	1	1	1	1	أَفْعُل		60	65	1
7:116:7	ٱلنَّاسِ	نوس	ناس	1	1	1	1	1	فَعَل		240	241	1
7:116:8	وَٱسْتَرْهَبُوهُمْ	رهب	استرهب	1	1	1	1	1	اسْتَفْعَلُوهُمْ	اِسْتَفْعَلَ	0	12	1
7:116:9	وَجَآءُو	جيا	جاء	1	1	1	1	1	فَعَلُوا	فَعَلَ	277	278	0
7:116:10	بِسِحْرٍ	سحر	سحر	1	1	1	1	1	فِعْل		55	63	1
7:116:11	عَظِيمٍ	عظم	عظيم	1	1	1	1	1	فَعِيل		119	128	1
7:117:1	وَأَوْحَيْنَآ	وحي	اوحى	1	1	1	1	1	أَفْعَلْنَا	أَفْعَلَ	71	78	0
7:117:5	أَلْقِ	لقي	القى	1	1	1	1	1	أَفْع	أَفْعَلَ	70	146	1
7:117:6	عَصَاكَ	عصو	عصا2	1	1	1	1	1	فَعَلَكَ		9	12	0
7:117:9	تَلْقَفُ	لقف	تلقف	1	1	1	1	1	تَفْعَل	فَعَلَ	2	3	0
7:117:11	يَأْفِكُونَ	افك	افك	1	1	1	1	1	يَفْعِلُونَ	فَعَلَ	24	30	1
7:118:1	فَوَقَعَ	وقع	وقع	1	1	1	1	1	فَعَل	فَعَلَ	11	24	1
7:118:2	ٱلْحَقُّ	حقق	حق	1	1	1	1	1	فَعّ		266	287	0
7:118:3	وَبَطَلَ	بطل	بطل	1	1	1	1	1	فَعَل	فَعَلَ	26	36	1
7:118:5	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:118:6	يَعْمَلُونَ	عمل	عمل	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	358	360	1
7:119:1	فَغُلِبُوا۟	غلب	غلب	1	1	1	1	1	فُعِلُوا	فَعَلَ	16	31	1
7:119:3	وَٱنقَلَبُوا۟	قلب	انقلب	1	1	1	1	1	انْفَعَلُوا	اِنْفَعَلَ	16	168	1
7:119:4	صَٰغِرِينَ	صغر	صغرون	1	1	1	1	1	فَاعِلِين		4	13	1
7:120:1	وَأُلْقِىَ	لقي	القى	1	1	1	1	1	أُفْعِل	أَفْعَلَ	70	146	1
7:120:2	ٱلسَّحَرَةُ	سحر	سحر	1	1	1	1	1	فَعَلَة		55	63	1
7:120:3	سَٰجِدِينَ	سجد	ساجد	1	1	1	1	1	فَاعِلِين		22	92	1
7:121:1	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:121:2	ءَامَنَّا	امن	ءامن	1	1	1	1	1	فعَلَّا	أَفْعَلَ	542	879	1
7:121:3	بِرَبِّ	ربب	رب	1	1	1	1	1	فَعّ		974	980	0
7:121:4	ٱلْعَٰلَمِينَ	علم	علمين	1	1	1	1	1	فَاعَلِين		72	854	1
7:122:1	رَبِّ	ربب	رب	1	1	1	1	1	فَعّ		974	980	0
7:123:1	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:123:3	ءَامَنتُم	امن	ءامن	1	1	1	1	1	فعَلْتُمْ	أَفْعَلَ	542	879	1
7:123:5	قَبْلَ	قبل	قبل	1	1	1	1	1	فَعْل		248	294	1
7:123:7	ءَاذَنَ	اذن	اذن	1	1	1	1	1	فعَل	فَعَلَ	83	102	1
7:123:11	لَمَكْرٌ	مكر	مكر	1	1	1	1	1	فَعْل		40	43	0
7:123:12	مَّكَرْتُمُوهُ	مكر	مكر	1	1	1	1	1	فَعَلْتُمُوهُ	فَعَلَ	40	43	0
7:123:14	ٱلْمَدِينَةِ	مدن	مدينة	1	1	1	1	1	فَعِيلَة		13	17	0
7:123:15	لِتُخْرِجُوا۟	خرج	اخرج	1	1	1	1	1	تُفْعِلُوا	أَفْعَلَ	98	182	1
7:123:17	أَهْلَهَا	اهل	اهل	1	1	1	1	1	فَعْلَهَا		126	127	1
7:123:19	تَعْلَمُونَ	علم	علم	1	1	1	1	1	تَفْعَلُونَ	فَعَلَ	549	854	1
7:124:1	لَأُقَطِّعَنَّ	قطع	قطع	1	1	1	1	1	أُفَعِّلَنَّ	فَعَّلَ	27	36	1
7:124:2	أَيْدِيَكُمْ	يدي	يد	1	1	1	1	1	أَفْعِلَكُمْ		119	120	0
7:124:3	وَأَرْجُلَكُم	رجل	رجل	1	1	1	1	1	أَفْعُلَكُمْ		44	73	1
7:124:5	خِلَٰفٍ	خلف	خلف	1	1	1	1	1	فِعَال		33	127	1
7:124:7	لَأُصَلِّبَنَّكُمْ	صلب	يصلب	1	1	1	1	1	أُفَعِّلَنَّكُمْ	فَعَّلَ	3	8	1
7:124:8	أَجْمَعِينَ	جمع	اجمعين	1	1	1	1	1	أَفْعَلِين		25	129	1
7:125:1	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:125:4	رَبِّنَا	ربب	رب	1	1	1	1	1	فَعِّنَا		974	980	0
7:125:5	مُنقَلِبُونَ	قلب	منقلبون	1	1	1	1	1	مُنْفَعِلُون		2	168	1
7:126:2	تَنقِمُ	نقم	نقم	1	1	1	1	1	تَفْعِل	فَعَلَ	3	17	1
7:126:6	ءَامَنَّا	امن	ءامن	1	1	1	1	1	فعَلَّا	أَفْعَلَ	542	879	1
7:126:7	بِـَٔايَٰتِ	ايي	ءاية	1	1	1	1	1	فعَلَت		381	382	0
7:126:8	رَبِّنَا	ربب	رب	1	1	1	1	1	فَعِّنَا		974	980	0
7:126:10	جَآءَتْنَا	جيا	جاء	1	1	1	1	1	فَعَلَتْنَا	فَعَلَ	277	278	0
7:126:11	رَبَّنَآ	ربب	رب	1	1	1	1	1	فَعَّنَا		974	980	0
7:126:12	أَفْرِغْ	فرغ	افرغ	1	1	1	1	1	أَفْعِل	أَفْعَلَ	2	6	1
7:126:14	صَبْرًا	صبر	صبر	1	1	1	1	1	فَعْلًا		72	103	1
7:126:15	وَتَوَفَّنَا	وفي	توفى	1	1	1	1	1	تَفَعَّنَا	تَفَعَّلَ	23	66	0
7:126:16	مُسْلِمِينَ	سلم	مسلم	1	1	1	1	1	مُفْعِلِين		38	140	0
7:127:1	وَقَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:127:2	ٱلْمَلَأُ	ملا	ملا	1	1	1	1	1	فَعَل		29	40	0
7:127:4	قَوْمِ	قوم	قوم	1	1	1	1	1	فَعْل		382	660	1
7:127:6	أَتَذَرُ	وذر	يذر	1	1	1	1	1	أَتَذَر	فَعَلَ	44	45	0
7:127:8	وَقَوْمَهُۥ	قوم	قوم	1	1	1	1	1	فَعْلَهُ		382	660	1
7:127:9	لِيُفْسِدُوا۟	فسد	افسد	1	1	1	1	1	يُفْعِلُوا	أَفْعَلَ	14	50	0
7:127:11	ٱلْأَرْضِ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
7:127:12	وَيَذَرَكَ	وذر	يذر	1	1	1	1	1	يَعَلَكَ	فَعَلَ	44	45	0
7:127:13	وَءَالِهَتَكَ	اله	اله	1	1	1	1	1	فعِلَتَكَ		146	2851	1
7:127:14	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:127:15	سَنُقَتِّلُ	قتل	قتل	1	1	1	1	1	نُفَعِّل	فَعَّلَ	150	170	1
7:127:16	أَبْنَآءَهُمْ	بني	ابن	1	1	1	1	1	أَفْعَالَهُمْ		62	184	1
7:127:17	وَنَسْتَحْىِۦ	حيي	يستحىۦ	1	1	1	1	1	نَسْتَفْعِل	اِسْتَفْعَلَ	8	184	0
7:127:18	نِسَآءَهُمْ	نسو	نساء	1	1	1	1	1	فِعَالَهُمْ		58	59	0
7:127:20	فَوْقَهُمْ	فوق	فوق	1	1	1	1	1	فَعْلَهُمْ		40	43	1
7:127:21	قَٰهِرُونَ	قهر	قاهر	1	1	1	1	1	فَاعِلُون		2	10	1
7:128:1	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:128:3	لِقَوْمِهِ	قوم	قوم	1	1	1	1	1	فَعْلِهِ		382	660	1
7:128:4	ٱسْتَعِينُوا۟	عون	استعين	1	1	1	1	1	اسْتَفِعلُوا	اِسْتَفْعَلَ	3	11	0
7:128:5	بِٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
7:128:6	وَٱصْبِرُوٓا۟	صبر	صبر	1	1	1	1	1	افْعِلُوا	فَعَلَ	72	103	1
7:128:8	ٱلْأَرْضَ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
7:128:9	لِلَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
7:128:10	يُورِثُهَا	ورث	اورث	1	1	1	1	1	يُفعِلُهَا	أَفْعَلَ	11	35	0
7:128:12	يَشَآءُ	شيا	شاء	1	1	1	1	1	يَفَعَل	فَعَلَ	235	519	0
7:128:14	عِبَادِهِۦ	عبد	عبد	1	1	1	1	1	فِعَالِهِ		253	275	1
7:128:15	وَٱلْعَٰقِبَةُ	عقب	عقبة	1	1	1	1	1	فَاعِلَة		33	80	1
7:128:16	لِلْمُتَّقِينَ	وقي	متقين	1	0	1	1	0	مُتَّقِين		48	258	0
7:129:1	قَالُوٓا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:129:2	أُوذِينَا	اذي	اوذى	1	1	1	1	1	فُوعِلنَا	أَفْعَلَ	14	24	1
7:129:4	قَبْلِ	قبل	قبل	1	1	1	1	1	فَعْل		248	294	1
7:129:6	تَأْتِيَنَا	اتي	اتى	1	1	1	1	1	تَفْعِلَنَا	فَعَلَ	534	549	0
7:129:8	بَعْدِ	بعد	بعد	1	1	1	1	1	فَعْل		206	235	1
7:129:10	جِئْتَنَا	جيا	جاء	1	1	1	1	1	فِعْتَنَل	فَعَلَ	277	278	0
7:129:11	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:129:12	عَسَىٰ	عسي	عسى	1	1	1	1	1	فَعَل	فَعَلَ	29	30	0
7:129:13	رَبُّكُمْ	ربب	رب	1	1	1	1	1	فَعُّكُمْ		974	980	0
7:129:15	يُهْلِكَ	هلك	اهلك	1	1	1	1	1	يُفْعِل	أَفْعَلَ	50	68	1
7:129:16	عَدُوَّكُمْ	عدو	عدو	1	1	1	1	1	فَعُلَّكُمْ		51	106	1
7:129:17	وَيَسْتَخْلِفَكُمْ	خلف	استخلف	1	1	1	1	1	يَسْتَفْعِلَكُمْ	اِسْتَفْعَلَ	4	127	1
7:129:19	ٱلْأَرْضِ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
7:129:20	فَيَنظُرَ	نظر	نظر	1	1	1	1	1	يَفْعُل	فَعَلَ	87	129	1
7:129:21	كَيْفَ	كيف	كيف	1	1	1	1	1	فَعْل		82	83	0
7:129:22	تَعْمَلُونَ	عمل	عمل	1	1	1	1	1	تَفْعَلُونَ	فَعَلَ	358	360	1
7:130:2	أَخَذْنَآ	اخذ	اخذ	1	1	1	1	1	فَعَلْنَا	فَعَلَ	135	273	1
7:130:3	ءَالَ	اول	ءال	1	1	1	1	1	فل		25	170	1
7:130:5	بِٱلسِّنِينَ	سنو	سنين	1	1	1	1	1	فِعِلن		11	20	0
7:130:6	وَنَقْصٍ	نقص	نقص	1	1	1	1	1	فَعْل		1	10	0
7:130:8	ٱلثَّمَرَٰتِ	ثمر	ثمرت	1	1	1	1	1	فَعَلَات		15	24	1
7:130:10	يَذَّكَّرُونَ	ذكر	تذكر	1	1	1	1	1	يَفَّعَّلُونَ	تَفَعَّلَ	50	292	1
7:131:2	جَآءَتْهُمُ	جيا	جاء	1	1	1	1	1	فَعَلَتْهُمُ	فَعَلَ	277	278	0
7:131:3	ٱلْحَسَنَةُ	حسن	حسنة	1	1	1	1	1	فَعَلَة		27	194	1
7:131:4	قَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:131:8	تُصِبْهُمْ	صوب	اصاب	1	1	1	1	1	تُفِلْهُمْ	أَفْعَلَ	63	77	1
7:131:9	سَيِّئَةٌ	سوا	سيية	1	1	1	1	1	فَعِّلَة		21	167	0
7:131:10	يَطَّيَّرُوا۟	طير	اطير	1	1	1	1	1	يَفَّعَّلُوا	تَفَعَّلَ	2	29	1
7:131:16	طَٰٓئِرُهُمْ	طير	طير	1	1	1	1	1	فَعَئِلُهُمْ		23	29	1
7:131:17	عِندَ	عند	عند	1	1	1	1	1	فِعْل		196	201	1
7:131:18	ٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
7:131:20	أَكْثَرَهُمْ	كثر	اكثر	1	1	1	1	1	أَفْعَلَهُمْ		81	167	1
7:131:22	يَعْلَمُونَ	علم	علم	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	549	854	1
7:132:1	وَقَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:132:3	تَأْتِنَا	اتي	اتى	1	1	1	1	1	تَفْعِنَا	فَعَلَ	534	549	0
7:132:6	ءَايَةٍ	ايي	ءاية	1	1	1	1	1	فعَة		381	382	0
7:132:7	لِّتَسْحَرَنَا	سحر	سحر	1	1	1	1	1	تَفْعَلَنَا	فَعَلَ	55	63	1
7:132:12	بِمُؤْمِنِينَ	امن	مومن	1	1	1	1	1	مُفْعِلِين		201	879	1
7:133:1	فَأَرْسَلْنَا	رسل	ارسل	1	1	1	1	1	أَفْعَلْنَا	أَفْعَلَ	129	513	1
7:133:3	ٱلطُّوفَانَ	طوف	طوفان	1	1	1	1	1	فُعلَان		1	41	1
7:133:4	وَٱلْجَرَادَ	جرد	جراد	1	1	1	1	1	فَعَال		1	2	1
7:133:5	وَٱلْقُمَّلَ	قمل	قمل	1	1	1	1	1	فُعَّل		0	1	1
7:133:6	وَٱلضَّفَادِعَ	ضفدع	ضفادع	1	1	1	0	0	فَعَالِل		0	1	0
7:133:7	وَٱلدَّمَ	دمو	دم	1	1	1	1	1	فَع		9	10	0
7:133:8	ءَايَٰتٍ	ايي	ءاية	1	1	1	1	1	فعَلَت		381	382	0
7:133:9	مُّفَصَّلَٰتٍ	فصل	مفصلت	1	1	1	1	1	مُفَعَّلَات		0	43	1
7:133:10	فَٱسْتَكْبَرُوا۟	كبر	استكبر	1	1	1	1	1	اسْتَفْعَلُوا	اِسْتَفْعَلَ	39	161	1
7:133:11	وَكَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:133:12	قَوْمًا	قوم	قوم	1	1	1	1	1	فَعْلًا		382	660	1
7:133:13	مُّجْرِمِينَ	جرم	مجرم	1	1	1	1	1	مُفْعِلِين		51	66	1
7:134:2	وَقَعَ	وقع	وقع	1	1	1	1	1	فَعَل	فَعَلَ	11	24	1
7:134:4	ٱلرِّجْزُ	رجز	رجز	1	1	1	1	1	فِعْل		9	10	1
7:134:5	قَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:134:7	ٱدْعُ	دعو	دعا	1	1	1	1	1	افْع	فَعَلَ	169	212	1
7:134:9	رَبَّكَ	ربب	رب	1	1	1	1	1	فَعَّكَ		974	980	0
7:134:11	عَهِدَ	عهد	عهد	1	1	1	1	1	فَعِل	فَعَلَ	45	46	1
7:134:12	عِندَكَ	عند	عند	1	1	1	1	1	فِعْلَكَ		196	201	1
7:134:14	كَشَفْتَ	كشف	كشف	1	1	1	1	1	فَعَلْتَ	فَعَلَ	14	20	1
7:134:16	ٱلرِّجْزَ	رجز	رجز	1	1	1	1	1	فِعْل		9	10	1
7:134:17	لَنُؤْمِنَنَّ	امن	ءامن	1	1	1	1	1	نُفْعِلَنَّ	أَفْعَلَ	542	879	1
7:134:19	وَلَنُرْسِلَنَّ	رسل	ارسل	1	1	1	1	1	نُفْعِلَنَّ	أَفْعَلَ	129	513	1
7:134:21	بَنِىٓ	بني	بنى	1	1	1	1	1	فَعِل		90	184	1
7:135:2	كَشَفْنَا	كشف	كشف	1	1	1	1	1	فَعَلْنَا	فَعَلَ	14	20	1
7:135:4	ٱلرِّجْزَ	رجز	رجز	1	1	1	1	1	فِعْل		9	10	1
7:135:6	أَجَلٍ	اجل	اجل	1	1	1	1	1	فَعَل		54	56	1
7:135:8	بَٰلِغُوهُ	بلغ	بلغ	1	1	1	1	1	فَاعِلُوهُ		66	77	1
7:135:11	يَنكُثُونَ	نكث	نكث	1	1	1	1	1	يَفْعُلُونَ	فَعَلَ	5	7	1
7:136:1	فَٱنتَقَمْنَا	نقم	انتقم	1	1	1	1	1	افْتَعَلْنَا	اِفْتَعَلَ	5	17	1
7:136:3	فَأَغْرَقْنَٰهُمْ	غرق	اغرق	1	1	1	1	1	أَفْعَلْنَاهُمْ	أَفْعَلَ	16	23	1
7:136:5	ٱلْيَمِّ	يمم	يم	1	1	1	1	1	فَعّ		7	11	0
7:136:7	كَذَّبُوا۟	كذب	كذب	1	1	1	1	1	فَعَّلُوا	فَعَّلَ	251	282	1
7:136:8	بِـَٔايَٰتِنَا	ايي	ءاية	1	1	1	1	1	فعَلَتِنَا		381	382	0
7:136:9	وَكَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:136:11	غَٰفِلِينَ	غفل	غفل	1	1	1	1	1	فَاعِلِين		26	35	1
7:137:1	وَأَوْرَثْنَا	ورث	اورث	1	1	1	1	1	أَفْعَلْنَا	أَفْعَلَ	11	35	0
7:137:2	ٱلْقَوْمَ	قوم	قوم	1	1	1	1	1	فَعْل		382	660	1
7:137:4	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:137:5	يُسْتَضْعَفُونَ	ضعف	استضعف	1	1	1	1	1	يُسْتَفْعَلُونَ	اِسْتَفْعَلَ	7	52	1
7:137:6	مَشَٰرِقَ	شرق	مشرق	1	1	1	1	1	مَفَاعِل		10	17	1
7:137:7	ٱلْأَرْضِ	ارض	ارض	1	1	1	1	1	فَعْل		460	461	1
7:137:8	وَمَغَٰرِبَهَا	غرب	مغرب	1	1	1	1	1	مَفَاعِلَهَا		9	19	1
7:137:10	بَٰرَكْنَا	برك	برك	1	1	1	1	1	فَاعَلْنَا	فَاعَلَ	7	32	1
7:137:12	وَتَمَّتْ	تمم	تم	1	1	1	1	1	فَعَّت	فَعَلَ	3	22	0
7:137:13	كَلِمَتُ	كلم	كلمة	1	1	1	1	1	فَعِلَت		27	75	1
7:137:14	رَبِّكَ	ربب	رب	1	1	1	1	1	فَعِّكَ		974	980	0
7:137:15	ٱلْحُسْنَىٰ	حسن	حسنى	1	1	1	1	1	فُعْلَى		16	194	1
7:137:17	بَنِىٓ	بني	بنى	1	1	1	1	1	فَعِل		90	184	1
7:137:20	صَبَرُوا۟	صبر	صبر	1	1	1	1	1	فَعَلُوا	فَعَلَ	72	103	1
7:137:21	وَدَمَّرْنَا	دمر	دمر	1	1	1	1	1	فَعَّلْنَا	فَعَّلَ	7	10	1
7:137:23	كَانَ	كون	كان	1	1	1	1	1	فَعَل	فَعَلَ	1357	1390	1
7:137:24	يَصْنَعُ	صنع	صنع	1	1	1	1	1	يَفْعَل	فَعَلَ	16	20	1
7:137:26	وَقَوْمُهُۥ	قوم	قوم	1	1	1	1	1	فَعْلُهُ		382	660	1
7:137:28	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:137:29	يَعْرِشُونَ	عرش	يعرش	1	1	1	1	1	يَفْعِلُونَ	فَعَلَ	1	33	1
7:138:1	وَجَٰوَزْنَا	جوز	جاوز	1	1	1	1	1	فَعَوَلْنَا	فَاعَلَ	3	5	1
7:138:2	بِبَنِىٓ	بني	بنى	1	1	1	1	1	فَعِل		90	184	1
7:138:4	ٱلْبَحْرَ	بحر	بحر	1	1	1	1	1	فَعْل		40	42	0
7:138:5	فَأَتَوْا۟	اتي	اتى	1	1	1	1	1	فَعَوْا	فَعَلَ	534	549	0
7:138:7	قَوْمٍ	قوم	قوم	1	1	1	1	1	فَعْل		382	660	1
7:138:8	يَعْكُفُونَ	عكف	يعكف	1	1	1	1	1	يَفْعُلُونَ	فَعَلَ	0	9	1
7:138:10	أَصْنَامٍ	صنم	اصنام	1	1	1	1	1	أَفْعَال		4	5	0
7:138:12	قَالُوا۟	قول	قال	1	1	1	1	1	فَعَلُوا	فَعَلَ	1617	1722	1
7:138:14	ٱجْعَل	جعل	جعل	1	1	1	1	1	افْعَل	فَعَلَ	339	346	0
7:138:16	إِلَٰهًا	اله	اله	1	1	1	1	1	فِعَٰلًا		146	2851	1
7:138:19	ءَالِهَةٌ	اله	اله	1	1	1	1	1	فعِلَة		146	2851	1
7:138:20	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:138:22	قَوْمٌ	قوم	قوم	1	1	1	1	1	فَعْل		382	660	1
7:138:23	تَجْهَلُونَ	جهل	يجهل	1	1	1	1	1	تَفْعَلُونَ	فَعَلَ	4	24	1
7:139:3	مُتَبَّرٌ	تبر	متبر	1	1	1	1	1	مُفَعَّل		0	6	1
7:139:7	وَبَٰطِلٌ	بطل	بطل	1	1	1	1	1	فَاعِل		26	36	1
7:139:9	كَانُوا۟	كون	كان	1	1	1	1	1	فَعَلُوا	فَعَلَ	1357	1390	1
7:139:10	يَعْمَلُونَ	عمل	عمل	1	1	1	1	1	يَفْعَلُونَ	فَعَلَ	358	360	1
7:140:1	قَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:140:2	أَغَيْرَ	غير	غير	1	1	1	1	1	أَفَعْل		146	154	1
7:140:3	ٱللَّهِ	اله	الله	1	0	1	1	0			2698	2851	1
7:140:4	أَبْغِيكُمْ	بغي	بغى	1	1	1	1	1	أَفْعِلكُمْ	فَعَلَ	24	96	1
7:140:5	إِلَٰهًا	اله	اله	1	1	1	1	1	فِعَٰلًا		146	2851	1
7:140:7	فَضَّلَكُمْ	فضل	فضل	1	1	1	1	1	فَعَّلَكُمْ	فَعَّلَ	100	104	1
7:140:9	ٱلْعَٰلَمِينَ	علم	علمين	1	1	1	1	1	فَاعَلِين		72	854	1
7:141:2	أَنجَيْنَٰكُم	نجو	انجى	1	1	1	1	1	أَفْعَيْنَلَكُمْ	أَفْعَلَ	22	84	1
7:141:4	ءَالِ	اول	ءال	1	1	1	1	1	فل		25	170	1
7:141:6	يَسُومُونَكُمْ	سوم	يسوم	1	1	1	1	1	يَفُعلُونَكُمْ	فَعَلَ	3	15	1
7:141:7	سُوٓءَ	سوا	سوء	1	1	1	1	1	فُعل		58	167	0
7:141:8	ٱلْعَذَابِ	عذب	عذاب	1	1	1	1	1	فَعَال		321	373	1
7:141:9	يُقَتِّلُونَ	قتل	قتل	1	1	1	1	1	يُفَعِّلُونَ	فَعَّلَ	150	170	1
7:141:10	أَبْنَآءَكُمْ	بني	ابن	1	1	1	1	1	أَفْعَالَكُمْ		62	184	1
7:141:11	وَيَسْتَحْيُونَ	حيي	يستحىۦ	1	1	1	1	1	يَسْتَفْعُونَ	اِسْتَفْعَلَ	8	184	0
7:141:12	نِسَآءَكُمْ	نسو	نساء	1	1	1	1	1	فِعَالَكُمْ		58	59	0
7:141:15	بَلَآءٌ	بلو	بلاء	1	1	1	1	1	فَعَال		5	38	0
7:141:17	رَّبِّكُمْ	ربب	رب	1	1	1	1	1	فَعِّكُمْ		974	980	0
7:141:18	عَظِيمٌ	عظم	عظيم	1	1	1	1	1	فَعِيل		119	128	1
7:142:1	وَوَٰعَدْنَا	وعد	وعد	1	1	1	1	1	فَاعَلْنَا	فَاعَلَ	122	151	1
7:142:3	ثَلَٰثِينَ	ثلث	ثلث	1	1	1	1	1	فَعَالِين		15	32	0
7:142:4	لَيْلَةً	ليل	ليلة	1	1	1	1	1	فَعْلَة		7	92	0
7:142:5	وَأَتْمَمْنَٰهَا	تمم	اتم	1	1	1	1	1	أَفْعَلْنَاهَا	أَفْعَلَ	15	22	0
7:142:6	بِعَشْرٍ	عشر	عشر	1	1	1	1	1	فَعْل		10	27	1
7:142:7	فَتَمَّ	تمم	تم	1	1	1	1	1	فَعّ	فَعَلَ	3	22	0
7:142:8	مِيقَٰتُ	وقت	ميقت	1	1	1	1	1	مِفْعَال		7	13	1
7:142:9	رَبِّهِۦٓ	ربب	رب	1	1	1	1	1	فَعِّهِ		974	980	0
7:142:10	أَرْبَعِينَ	ربع	اربع	1	1	1	1	1	أَفْعَلِين		6	22	1
7:142:11	لَيْلَةً	ليل	ليلة	1	1	1	1	1	فَعْلَة		7	92	0
7:142:12	وَقَالَ	قول	قال	1	1	1	1	1	فَعَل	فَعَلَ	1617	1722	1
7:142:14	لِأَخِيهِ	اخو	اخ	1	1	1	1	1	فَعِلهِ		74	96	1
7:142:16	ٱخْلُفْنِى	خلف	خلف	1	1	1	1	1	افْعُلْنِي	فَعَلَ	33	127	1
7:142:18	قَوْمِى	قوم	قوم	1	1	1	1	1	فَعْلِي		382	660	1
7:142:19	وَأَصْلِحْ	صلح	اصلح	1	1	1	1	1	أَفْعِل	أَفْعَلَ	34	180	1
7:142:21	تَتَّبِعْ	تبع	اتبع	1	1	1	1	1	فَتَّعِل	اِفْتَعَلَ	150	172	1
7:142:22	سَبِيلَ	سبل	سبيل	1	1	1	1	1	فَعِيل		175	176	1
7:142:23	ٱلْمُفْسِدِينَ	فسد	مفسد	1	1	1	1	1	مُفْعِلِين		20	50	0
