ref	root	class	hamza	pos	wazn
7:57:19	موه	أجوف	-	N	فَعَء
7:5:11	كون	أجوف	-	V	فُنَّعَ
7:7:5	كون	أجوف	-	V	فُنَّعَ
7:88:20	كون	أجوف	-	V	فُنَّعَ
7:94:6	نبا	صحيح سالم	2	N	فَعِيّ
7:96:6	وقي	لفيف	-	V	اتَّقَفْا
80:25:3	موه	أجوف	-	N	فَعَء
84:18:3	وسق	مثال	-	V	اتَّسَق
86:6:3	موه	أجوف	-	N	فَعَء
88:22:3	سطر	صحيح سالم	-	N	مُصَيْطِر
8:11:10	موه	أجوف	-	N	فَعَء
8:1:8	وقي	لفيف	-	V	اتَّقُفا
8:25:1	وقي	لفيف	-	V	اتَّقُفا
8:34:17	وقي	لفيف	-	N	مُتَّقُفن
8:53:5	كون	أجوف	-	V	يَف
8:64:2	نبا	صحيح سالم	2	N	فَعِيّ
8:65:2	نبا	صحيح سالم	2	N	فَعِيّ
8:67:3	نبا	صحيح سالم	2	N	فَعِيّ
8:69:6	وقي	لفيف	-	V	اتَّقُفا
8:70:2	نبا	صحيح سالم	2	N	فَعِيّ
90:20:3	وصد	مثال	-	ADJ	مُؤْصَدَة
90:9:2	شفه	صحيح سالم	-	N	فَعَتَيْن
91:8:3	وقي	لفيف	-	N	تَقْفَاهَا
92:17:2	وقي	لفيف	-	N	أَتْقَى
92:5:4	وقي	لفيف	-	V	اتَّقَى
96:12:3	وقي	لفيف	-	N	تَقْفَى
98:6:16	برا	صحيح سالم	2	N	فَعِيَّة
98:7:9	برا	صحيح سالم	2	N	فَعِيَّة
9:108:8	وقي	لفيف	-	N	تَقْفَى
9:109:5	وقي	لفيف	-	N	تَقْفَى
9:113:3	نبا	صحيح سالم	2	N	فَّعِيّ
9:117:5	نبا	صحيح سالم	2	N	فَعِيّ
9:119:4	وقي	لفيف	-	V	اتَّقُفا
9:123:16	وقي	لفيف	-	N	مُتَّقِين
9:36:36	وقي	لفيف	-	N	مُتَّقِين
9:44:14	وقي	لفيف	-	N	مُتَّقِين
9:4:22	وقي	لفيف	-	N	مُتَّقِين
9:50:4	سوا	أجوف	2	V	تَفُعْهُمْ
9:61:4	نبا	صحيح سالم	2	N	فَعِيّ
9:65:5	كون	أجوف	-	V	فُنَّعَ
9:73:2	نبا	صحيح سالم	2	N	فَعِيّ
9:74:27	كون	أجوف	-	V	يَف
9:7:23	وقي	لفيف	-	N	مُتَّقِين
9:92:10	وجد	مثال	-	V	أَجِد
