ref	root	class	hamza	pos	wazn
13:33:10	اله	صحيح سالم	0	PN	لَّه
13:33:12	قول	أجوف	-	V	فُل
13:33:15	نبا	صحيح سالم	2	V	تُفَعِّئُونَهُ
13:33:3	قوم	أجوف	-	N	فَائِم
13:33:30	صدد	مضاعف	-	V	فُعُّوا
13:33:34	ضلل	مضاعف	-	V	يُفْعِل
13:33:39	هدي	ناقص	-	N	فَاع
13:33:5	كلل	مضاعف	-	N	فُعّ
13:34:14	وقي	لفيف	-	N	فَاع
13:34:4	حيي	لفيف	-	N	فَعَاة
13:34:5	دنو	ناقص	-	ADJ	فُعْيَا
13:34:8	شقق	مضاعف	-	ADJ	أَفَعّ
13:35:11	دوم	أجوف	-	N	فَائِم
13:35:12	ظلل	مضاعف	-	N	فِعُّهَا
13:35:16	وقي	لفيف	-	V	اتَّقَفْا
13:35:19	نور	أجوف	-	N	فَار
13:35:2	جنن	مضاعف	-	PN	فَعَّة
13:35:5	وقي	لفيف	-	N	مُتَّقُفن
13:36:13	قول	أجوف	-	V	فُل
13:36:25	اوب	أجوف	0	N	مَفب
13:37:19	وقي	لفيف	-	N	فَاع
13:37:7	هوي	لفيف	-	N	أَفْعَاءَهُمْ
13:37:9	جيا	أجوف	2	V	فَاءَكَ
13:38:11	كون	أجوف	-	V	فَان
13:38:15	ايي	لفيف	0	N	فعَة
13:38:19	كلل	مضاعف	-	N	فُعّ
13:38:9	ذرر	مضاعف	-	N	فُعِّيَّة
13:39:4	شيا	أجوف	2	V	يَفَاء
13:39:7	امم	مضاعف	0	N	فُعّ
13:3:10	كلل	مضاعف	-	N	فُعّ
13:3:16	غشو	ناقص	-	V	يُفْعِي
13:3:22	ايي	لفيف	0	N	فعَات
13:3:3	مدد	مضاعف	-	V	فَعّ
13:3:7	رسو	ناقص	-	N	فَوَاعِي
13:40:3	راي	ناقص	1	V	نُفِيَنَّكَ
13:40:6	وعد	مثال	-	V	نَعِدُهُمْ
13:41:2	راي	ناقص	1	V	يَفَوْع
13:42:12	كلل	مضاعف	-	N	فُعّ
13:42:18	دور	أجوف	-	N	فَار
13:42:6	اله	صحيح سالم	0	PN	لَّه
13:43:4	ليس	أجوف	-	V	فَسْتَ
13:43:6	قول	أجوف	-	V	فُل
13:4:14	موه	أجوف	-	N	فَاء
13:4:25	ايي	لفيف	0	N	فعَات
13:4:5	جنن	مضاعف	-	N	فَعَّات
13:5:11	جدد	مضاعف	-	ADJ	فَعِيل
13:5:15	ربب	مضاعف	-	N	فَعِّهِمْ
13:5:17	غلل	مضاعف	-	N	أَفْعَال
13:5:22	نور	أجوف	-	N	فَار
13:5:6	كون	أجوف	-	V	فُنَّا
13:6:11	ربب	مضاعف	-	N	فَعَّكَ
13:6:14	نوس	أجوف	-	N	فَّاس
13:6:18	ربب	مضاعف	-	N	فَعَّكَ
13:6:19	شدد	مضاعف	-	N	فَعِيل
13:6:2	سوا	أجوف	2	N	فَيِّئَة
13:6:6	خلو	ناقص	-	V	فَعَت
13:7:13	كلل	مضاعف	-	N	فُعّ
13:7:15	هدي	ناقص	-	N	فَاع
13:7:7	ايي	لفيف	0	N	فعَة
13:7:9	ربب	مضاعف	-	N	فَعِّهِ
13:8:11	زيد	أجوف	-	V	تَفْدَاد
13:8:12	كلل	مضاعف	-	N	فُعّ
13:8:13	شيا	أجوف	2	N	فَعْء
13:8:5	كلل	مضاعف	-	N	فُعّ
13:9:5	علو	ناقص	-	N	مُتَفَاع
14:10:1	قول	أجوف	-	V	فَالَت
14:10:14	اخر	صحيح سالم	0	V	يُؤَخِّرَكُمْ
14:10:17	سمو	ناقص	-	N	مُفَعًّى
14:10:18	قول	أجوف	-	V	فَالُعا
14:10:24	رود	أجوف	-	V	تُفِيدُعنَ
14:10:26	صدد	مضاعف	-	V	تَفُعُّونَا
14:10:28	كون	أجوف	-	V	فَان
14:10:30	ابو	ناقص	0	N	فعَاؤُنَا
14:10:31	اتي	ناقص	0	V	فْعُونَا
14:10:5	شكك	مضاعف	-	N	فَعّ
14:11:1	قول	أجوف	-	V	فَالَت
14:11:11	منن	مضاعف	-	V	يَفُعّ
14:11:14	شيا	أجوف	2	V	يَفَاء
14:11:18	كون	أجوف	-	V	فَان
14:11:29	امن	صحيح سالم	0	N	مُؤْمِنُون
14:12:8	هدي	ناقص	-	V	فَعَانَا
14:13:1	قول	أجوف	-	V	فَال
14:13:11	ملل	مضاعف	-	N	فِعَّتِنَا
14:13:14	ربب	مضاعف	-	N	فَعُّهُمْ
14:14:7	خوف	أجوف	-	V	فَاف
14:14:8	قوم	أجوف	-	N	مَفَامِي
14:14:9	خوف	أجوف	-	V	فَاف
14:15:2	خيب	أجوف	-	V	فَاب
14:15:3	كلل	مضاعف	-	N	فُعّ
14:16:2	وري	لفيف	-	N	فَعَائِهِ
14:16:6	موه	أجوف	-	N	فَاء
14:16:7	صدد	مضاعف	-	ADJ	فَعِيل
14:17:12	موت	أجوف	-	N	فَيِّت
14:17:14	وري	لفيف	-	N	فَعَائِهِ
14:17:3	كود	أجوف	-	V	يَفَاد
14:17:4	سوغ	أجوف	-	V	يُفِيغُهُ
14:17:8	كلل	مضاعف	-	N	فُعّ
14:17:9	كون	أجوف	-	N	مَفَان
14:18:18	شيا	أجوف	2	N	فَعْء
14:18:21	ضلل	مضاعف	-	N	فَعَال
14:18:4	ربب	مضاعف	-	N	فَعِّهِمْ
14:18:7	شدد	مضاعف	-	V	افْتَعَّت
14:18:9	روح	أجوف	-	N	فِيح
14:19:10	شيا	أجوف	2	V	يَفَأ
14:19:12	اتي	ناقص	0	V	يَفْع
14:19:14	جدد	مضاعف	-	ADJ	فَعِيل
14:19:2	راي	ناقص	1	V	تَف
14:19:8	حقق	مضاعف	-	N	فَعّ
14:1:12	ربب	مضاعف	-	N	فَعِّهِمْ
14:1:15	عزز	مضاعف	-	ADJ	فَعِيل
14:1:6	نوس	أجوف	-	N	فَاس
14:20:5	عزز	مضاعف	-	N	فَعِيل
14:21:14	غني	ناقص	-	N	مُفْعُون
14:21:2	اله	صحيح سالم	0	PN	لَّه
14:21:20	شيا	أجوف	2	N	فَعْء
14:21:21	قول	أجوف	-	V	فَالُعا
14:21:23	هدي	ناقص	-	V	فَعَانَا
14:21:26	سوي	لفيف	-	N	فَعَاء
14:21:4	قول	أجوف	-	V	فَال
14:21:9	كون	أجوف	-	V	فُنَّا
14:22:1	قول	أجوف	-	V	فَال
14:22:10	حقق	مضاعف	-	N	فَعّ
14:22:14	كون	أجوف	-	V	فَان
14:22:22	جوب	أجوف	-	V	اسْتَفَبْتُمْ
14:23:14	ربب	مضاعف	-	N	فَعِّهِمْ
14:23:15	حيي	لفيف	-	N	تَفِعَّتُهُمْ
14:23:6	جنن	مضاعف	-	N	فَعَّات
14:24:15	سمو	ناقص	-	N	فَعَاء
14:24:2	راي	ناقص	1	V	تَف
14:25:1	اتي	ناقص	0	V	تُؤْتِي
14:25:10	نوس	أجوف	-	N	فَّاس
14:25:3	كلل	مضاعف	-	N	فُعّ
14:25:6	ربب	مضاعف	-	N	فَعِّهَا
14:26:13	قرر	مضاعف	-	N	فَعَال
14:26:6	جثث	مضاعف	-	V	افْتُعَّت
14:27:12	ضلل	مضاعف	-	V	يُفِعّ
14:27:18	شيا	أجوف	2	V	يَفَاء
14:27:8	حيي	لفيف	-	N	فَعَاة
14:27:9	دنو	ناقص	-	ADJ	فُعْيَا
14:28:11	دور	أجوف	-	N	فَار
14:28:2	راي	ناقص	1	V	تَف
14:28:9	حلل	مضاعف	-	V	أَفَعُّوا
14:29:2	صلي	ناقص	-	V	يَفْعَوْنَهَا
14:29:3	باس	صحيح سالم	1	V	فِئْس
14:29:4	قرر	مضاعف	-	N	فَعَال
14:2:14	شدد	مضاعف	-	ADJ	فَعِيل
14:30:12	نور	أجوف	-	N	فَار
14:30:2	اله	صحيح سالم	0	PN	لَّه
14:30:3	ندد	مضاعف	-	N	أَفْعَالًا
14:30:4	ضلل	مضاعف	-	V	يُفِعُّوا
14:30:7	قول	أجوف	-	V	فُل
14:31:1	قول	أجوف	-	V	فُل
14:31:10	سرر	مضاعف	-	N	فِعًّا
14:31:21	خلل	مضاعف	-	N	فِعَال
14:31:5	قوم	أجوف	-	V	يُفِيمُعا
14:31:6	صلو	ناقص	-	N	فَعَاة
14:32:8	سمو	ناقص	-	N	فَعَاء
14:32:9	موه	أجوف	-	N	فَاء
14:34:1	اتي	ناقص	0	V	فعَاكُمْ
14:34:11	حصي	ناقص	-	V	تُفْعُوهَا
14:34:3	كلل	مضاعف	-	N	فُعّ
14:34:7	عدد	مضاعف	-	V	تَفُعُّوا
14:35:2	قول	أجوف	-	V	فَال
14:35:4	ربب	مضاعف	-	N	فَعِّ
14:36:1	ربب	مضاعف	-	N	فَعِّ
14:36:3	ضلل	مضاعف	-	V	أَفْعَلْنَ
14:36:6	نوس	أجوف	-	N	فَاس
14:37:1	ربب	مضاعف	-	N	فَعَّنَا
14:37:13	ربب	مضاعف	-	N	فَعَّنَا
14:37:14	قوم	أجوف	-	V	يُفِيمُعا
14:37:15	صلو	ناقص	-	N	فَعَاة
14:37:17	فاد	صحيح سالم	1	N	أَفْئِدَة
14:37:19	نوس	أجوف	-	N	فَاس
14:37:5	ذرر	مضاعف	-	N	فُعِّيَّتِي
14:37:6	ودي	لفيف	-	N	فَاع
14:38:1	ربب	مضاعف	-	N	فَعَّنَا
14:38:13	شيا	أجوف	2	N	فَعْء
14:38:18	سمو	ناقص	-	N	فَعَاء
14:39:11	ربب	مضاعف	-	N	فَعِّي
14:39:13	دعو	ناقص	-	N	فُعَاء
14:39:2	اله	صحيح سالم	0	PN	لَّه
14:3:11	بغي	ناقص	-	V	يَفْعُونَهَا
14:3:15	ضلل	مضاعف	-	N	فَعَال
14:3:2	حبب	مضاعف	-	V	يَسْتَفِعُّونَ
14:3:3	حيي	لفيف	-	N	فَعَاة
14:3:4	دنو	ناقص	-	ADJ	فُعْيَا
14:3:7	صدد	مضاعف	-	V	يَفُعُّونَ
14:40:1	ربب	مضاعف	-	N	فَعِّ
14:40:3	قوم	أجوف	-	N	مُفِيم
14:40:4	صلو	ناقص	-	N	فَعَاة
14:40:6	ذرر	مضاعف	-	N	فُعِّيَّتِي
14:40:7	ربب	مضاعف	-	N	فَعَّنَا
14:40:9	دعو	ناقص	-	N	فُعَاءِ
14:41:1	ربب	مضاعف	-	N	فَعَّنَا
14:41:5	امن	صحيح سالم	0	N	مُؤْمِنِين
14:42:9	اخر	صحيح سالم	0	V	يُؤَخِّرُهُمْ
14:43:3	راس	صحيح سالم	1	N	فُءُوسِهِمْ
14:43:5	ردد	مضاعف	-	V	يَفْتَعّ
14:43:8	فاد	صحيح سالم	1	N	أَفْئِدَتُهُمْ
14:43:9	هوي	لفيف	-	N	فَعَاء
14:44:14	جوب	أجوف	-	V	نُفِب
14:44:2	نوس	أجوف	-	N	فَاس
14:44:9	ربب	مضاعف	-	N	فَعَّنَا
14:46:8	كون	أجوف	-	V	فَان
14:47:9	عزز	مضاعف	-	ADJ	فَعِيل
14:48:8	اله	صحيح سالم	0	PN	لَّه
14:49:1	راي	ناقص	1	V	تَفَى
14:4:10	ضلل	مضاعف	-	V	يُفِعّ
14:4:13	شيا	أجوف	2	V	يَفَاء
14:4:16	شيا	أجوف	2	V	يَفَاء
14:4:18	عزز	مضاعف	-	N	فَعِيل
14:50:4	غشو	ناقص	-	V	تَفْعَى
14:50:6	نور	أجوف	-	N	فَار
14:51:3	كلل	مضاعف	-	N	فُعّ
14:52:13	لبب	مضاعف	-	N	أَفْعَال
14:52:3	نوس	أجوف	-	N	فَّاس
14:5:13	يوم	لفيف	-	N	أَفَّام
14:5:18	ايي	لفيف	0	N	فعَات
14:5:19	كلل	مضاعف	-	N	فُعّ
14:5:4	ايي	لفيف	0	N	فعَاتِنَا
14:6:10	نجو	ناقص	-	V	أَفْعَاكُمْ
14:6:12	اول	أجوف	0	N	فل
14:6:15	سوا	أجوف	2	N	فُعء
14:6:18	بني	ناقص	-	N	أَفْعَاءَكُمْ
14:6:19	حيي	لفيف	-	V	يَسْتَفْعُونَ
14:6:2	قول	أجوف	-	V	فَال
14:6:20	نسو	ناقص	-	N	فِعَاءَكُمْ
14:6:23	بلو	ناقص	-	N	فَعَاء
14:6:25	ربب	مضاعف	-	N	فَعِّكُمْ
14:7:11	شدد	مضاعف	-	N	فَعِيل
14:7:3	ربب	مضاعف	-	N	فَعُّكُمْ
14:8:1	قول	أجوف	-	V	فَال
14:9:18	جيا	أجوف	2	V	فَاءَتْهُمْ
14:9:2	اتي	ناقص	0	V	يَفْعِكُمْ
14:9:21	ردد	مضاعف	-	V	فَعُّوا
14:9:25	قول	أجوف	-	V	فَالُعا
14:9:33	شكك	مضاعف	-	N	فَعّ
14:9:9	عود	أجوف	-	PN	فَاد
15:11:6	كون	أجوف	-	V	فَانُعا
15:11:8	هزا	صحيح سالم	2	V	يَسْتَفْعِئُونَ
15:13:2	امن	صحيح سالم	0	V	يُؤْمِنُونَ
15:13:5	خلو	ناقص	-	V	فَعَت
15:13:6	سنن	مضاعف	-	N	فُعَّة
15:14:4	بوب	أجوف	-	N	فَابًا
15:14:6	سمو	ناقص	-	N	فَعَاء
15:14:7	ظلل	مضاعف	-	V	فَعُّوا
15:15:1	قول	أجوف	-	V	فَالُعا
15:16:4	سمو	ناقص	-	N	فَعَاء
15:17:3	كلل	مضاعف	-	N	فُعّ
15:19:10	شيا	أجوف	2	N	فَعْء
15:19:2	مدد	مضاعف	-	V	فَعَلْنَاهَا
15:19:5	رسو	ناقص	-	N	فَوَاعِي
15:19:9	كلل	مضاعف	-	N	فُعّ
15:1:3	ايي	لفيف	0	N	فعَات
15:20:6	ليس	أجوف	-	V	فَسْتُمْ
15:21:3	شيا	أجوف	2	N	فَعْء
15:22:2	روح	أجوف	-	N	فِيَاح
15:22:6	سمو	ناقص	-	N	فَعَاء
15:22:7	موه	أجوف	-	N	فَاء
15:23:3	حيي	لفيف	-	V	نُفْعِل
15:23:4	موت	أجوف	-	V	نُفِيت
15:25:2	ربب	مضاعف	-	N	فَعَّكَ
15:26:8	سنن	مضاعف	-	N	مَفْعُول
15:27:1	جنن	مضاعف	-	N	فَاعّ
15:27:6	نور	أجوف	-	N	فَار
15:27:7	سمم	مضاعف	-	N	فَعُول
15:28:12	سنن	مضاعف	-	N	مَفْعُول
15:28:2	قول	أجوف	-	V	فَال
15:28:3	ربب	مضاعف	-	N	فَعُّكَ
15:29:7	وقع	مثال	-	V	قَعُفا
15:2:2	ودد	مضاعف	-	V	يَفَعّ
15:2:6	كون	أجوف	-	V	فَانُعا
15:30:3	كلل	مضاعف	-	N	فُعُّهُمْ
15:32:1	قول	أجوف	-	V	فَال
15:33:1	قول	أجوف	-	V	فَال
15:33:11	سنن	مضاعف	-	N	مَفْعُول
15:33:3	كون	أجوف	-	V	أَفُن
15:34:1	قول	أجوف	-	V	فَال
15:36:1	قول	أجوف	-	V	فَال
15:36:2	ربب	مضاعف	-	N	فَعِّ
15:37:1	قول	أجوف	-	V	فَال
15:39:1	قول	أجوف	-	V	فَال
15:39:2	ربب	مضاعف	-	N	فَعِّ
15:3:1	وذر	مثال	-	V	ذَرْهُمْ
15:3:4	لهو	ناقص	-	V	يُفْعِهِمُ
15:41:1	قول	أجوف	-	V	فَال
15:41:5	قوم	أجوف	-	N	مُسْتَفِيم
15:44:4	كلل	مضاعف	-	N	فُعّ
15:44:5	بوب	أجوف	-	N	فَاب
15:44:7	جزا	صحيح سالم	2	N	فُعْء
15:45:2	وقي	لفيف	-	N	مُتَّقِين
15:45:4	جنن	مضاعف	-	N	فَعَّات
15:47:6	غلل	مضاعف	-	N	فِعّ
15:47:9	سرر	مضاعف	-	N	فُعُل
15:48:2	مسس	مضاعف	-	V	يَفَعُّهُمْ
15:49:1	نبا	صحيح سالم	2	V	فَعِّئ
15:51:1	نبا	صحيح سالم	2	V	فَعِّئْهُمْ
15:52:4	قول	أجوف	-	V	فَالُعا
15:52:6	قول	أجوف	-	V	فَال
15:53:1	قول	أجوف	-	V	فَالُعا
15:54:1	قول	أجوف	-	V	فَال
15:54:5	مسس	مضاعف	-	V	فَعَّنِيَ
15:55:1	قول	أجوف	-	V	فَالُعا
15:55:3	حقق	مضاعف	-	N	فَعّ
15:55:5	كون	أجوف	-	V	تَفُن
15:56:1	قول	أجوف	-	V	فَال
15:56:6	ربب	مضاعف	-	N	فَعِّهِ
15:56:8	ضلل	مضاعف	-	N	فَاعُّون
15:57:1	قول	أجوف	-	V	فَال
15:58:1	قول	أجوف	-	V	فَالُعا
15:59:2	اول	أجوف	0	N	فل
15:5:4	امم	مضاعف	0	N	فُعَّة
15:61:2	جيا	أجوف	2	V	فَاء
15:61:3	اول	أجوف	0	N	فل
15:62:1	قول	أجوف	-	V	فَال
15:63:1	قول	أجوف	-	V	فَالُعا
15:63:3	جيا	أجوف	2	V	فِئْنَاكَ
15:63:5	كون	أجوف	-	V	فَانُعا
15:63:7	مري	ناقص	-	V	يَفْتَعُونَ
15:64:2	حقق	مضاعف	-	N	فَعّ
15:65:1	سري	ناقص	-	V	أَفْع
15:65:12	مضي	ناقص	-	V	افْعُوا
15:65:14	امر	صحيح سالم	0	V	تُؤْمَرُونَ
15:67:1	جيا	أجوف	2	V	فَاء
15:68:1	قول	أجوف	-	V	فَال
15:69:1	وقي	لفيف	-	V	اتَّقُفا
15:69:4	خزي	ناقص	-	V	تُفْعُونِ
15:6:1	قول	أجوف	-	V	فَالُعا
15:6:8	جنن	مضاعف	-	N	مَفْعُول
15:70:1	قول	أجوف	-	V	فَالُعا
15:70:3	نهي	ناقص	-	V	فَنْعَكَ
15:71:1	قول	أجوف	-	V	فَال
15:71:5	كون	أجوف	-	V	فُنْتُمْ
15:74:2	علو	ناقص	-	N	فَاعِيَهَا
15:75:4	ايي	لفيف	0	N	فعَات
15:76:3	قوم	أجوف	-	N	مُفِيم
15:77:4	ايي	لفيف	0	N	فعَة
15:77:5	امن	صحيح سالم	0	N	مُؤْمِنِين
15:78:2	كون	أجوف	-	V	فَان
15:79:4	امم	مضاعف	0	N	فِعَال
15:7:6	كون	أجوف	-	V	فُنْتَ
15:81:2	ايي	لفيف	0	N	فعَاتِنَا
15:81:3	كون	أجوف	-	V	فَانُعا
15:82:1	كون	أجوف	-	V	فَانُعا
15:84:5	كون	أجوف	-	V	فَانُعا
15:85:10	سوع	أجوف	-	N	فَاعَة
15:85:8	حقق	مضاعف	-	N	فَعّ
15:86:2	ربب	مضاعف	-	N	فَعَّكَ
15:88:15	امن	صحيح سالم	0	N	مُؤْمِنِين
15:88:2	مدد	مضاعف	-	V	تَفُعَّنَّ
15:89:1	قول	أجوف	-	V	فُل
15:8:5	حقق	مضاعف	-	N	فَعّ
15:8:7	كون	أجوف	-	V	فَانُعا
15:91:4	عضو	ناقص	-	N	فِعِين
15:92:1	ربب	مضاعف	-	N	فَعِّكَ
15:93:2	كون	أجوف	-	V	فَانُعا
15:94:3	امر	صحيح سالم	0	V	تُؤْمَر
15:95:3	هزا	صحيح سالم	2	N	مُسْتَفْعِئِين
15:98:3	ربب	مضاعف	-	N	فَعِّكَ
15:98:4	كون	أجوف	-	V	فُن
15:99:2	ربب	مضاعف	-	N	فَعَّكَ
16:100:5	ولي	لفيف	-	V	يَتَفَعَّوْنَهُ
16:101:10	قول	أجوف	-	V	فَالُعا
16:101:13	فري	ناقص	-	N	مُفْتَع
16:101:3	ايي	لفيف	0	N	فعَة
16:101:4	كون	أجوف	-	N	مَفَان
16:101:5	ايي	لفيف	0	N	فعَة
16:102:1	قول	أجوف	-	V	فُل
16:102:6	ربب	مضاعف	-	N	فَعِّكَ
16:102:7	حقق	مضاعف	-	N	فَعّ
16:104:4	امن	صحيح سالم	0	V	يُؤْمِنُونَ
16:104:5	ايي	لفيف	0	N	فعَات
16:105:6	امن	صحيح سالم	0	V	يُؤْمِنُونَ
16:105:7	ايي	لفيف	0	N	فعَات
16:107:3	حبب	مضاعف	-	V	اسْتَفَعُّوا
16:107:4	حيي	لفيف	-	N	فَعَاة
16:107:5	دنو	ناقص	-	ADJ	فُعْيَا
16:10:13	سوم	أجوف	-	V	تُفِيمُعنَ
16:10:5	سمو	ناقص	-	N	فَعَاء
16:10:6	موه	أجوف	-	N	فَاء
16:110:14	ربب	مضاعف	-	N	فَعَّكَ
16:110:3	ربب	مضاعف	-	N	فَعَّكَ
16:111:3	كلل	مضاعف	-	N	فُعّ
16:111:9	كلل	مضاعف	-	N	فُعّ
16:112:12	كلل	مضاعف	-	N	فُعّ
16:112:13	كون	أجوف	-	N	مَفَان
16:112:17	ذوق	أجوف	-	V	أَفَاقَهَا
16:112:23	كون	أجوف	-	V	فَانُعا
16:112:5	كون	أجوف	-	V	فَانَت
16:113:2	جيا	أجوف	2	V	فَاءَهُمْ
16:114:1	اكل	صحيح سالم	0	V	كُلُوف
16:114:11	كون	أجوف	-	V	فُنْتُمْ
16:114:5	حلل	مضاعف	-	N	فَعَالًا
16:115:14	ضرر	مضاعف	-	V	افْطُعّ
16:115:16	بغي	ناقص	-	N	فَاع
16:115:18	عدو	ناقص	-	N	فَاع
16:115:4	موت	أجوف	-	N	فَيْتَة
16:115:5	دمو	ناقص	-	N	فَع
16:115:9	هلل	مضاعف	-	V	أُفِعّ
16:116:11	فري	ناقص	-	V	تَفْتَعُوا
16:116:17	فري	ناقص	-	V	يَفْتَعُونَ
16:116:4	وصف	مثال	-	V	تَصِف
16:116:8	حلل	مضاعف	-	N	فَعَال
16:117:2	قلل	مضاعف	-	ADJ	فَعِيل
16:118:13	كون	أجوف	-	V	فَانُعا
16:118:3	هود	أجوف	-	V	فَادُعا
16:118:6	قصص	مضاعف	-	V	فَعَلْنَا
16:119:15	ربب	مضاعف	-	N	فَعَّكَ
16:119:3	ربب	مضاعف	-	N	فَعَّكَ
16:119:6	سوا	أجوف	2	N	فُعء
16:119:9	توب	أجوف	-	V	فَابُعا
16:11:14	ايي	لفيف	0	N	فعَة
16:11:9	كلل	مضاعف	-	N	فُعّ
16:120:3	كون	أجوف	-	V	فَان
16:120:4	امم	مضاعف	0	N	فُعَّة
16:120:6	اله	صحيح سالم	0	PN	لَّه
16:120:9	كون	أجوف	-	V	يَف
16:121:3	جبي	ناقص	-	V	افْتَعَاهُ
16:121:4	هدي	ناقص	-	V	فَعَاهُ
16:121:7	قوم	أجوف	-	N	مُسْتَفِيم
16:122:3	دنو	ناقص	-	N	فُعْيَا
16:123:10	كون	أجوف	-	V	فَان
16:123:6	ملل	مضاعف	-	N	فِعَّة
16:124:13	قوم	أجوف	-	N	فِيَامَة
16:124:15	كون	أجوف	-	V	فَانُعا
16:124:9	ربب	مضاعف	-	N	فَعَّكَ
16:125:1	دعو	ناقص	-	V	افْع
16:125:13	ربب	مضاعف	-	N	فَعَّكَ
16:125:17	ضلل	مضاعف	-	V	فَعّ
16:125:4	ربب	مضاعف	-	N	فَعِّكَ
16:127:10	كون	أجوف	-	V	تَف
16:128:5	وقي	لفيف	-	V	اتَّقَفْا
16:12:13	ايي	لفيف	0	N	فعَات
16:13:11	ايي	لفيف	0	N	فعَة
16:14:13	راي	ناقص	1	V	تَفَى
16:14:17	بغي	ناقص	-	V	تَفْتَعُوا
16:14:8	طرو	ناقص	-	ADJ	فَعِيًّا
16:15:11	هدي	ناقص	-	V	تَفْتَعُونَ
16:15:4	رسو	ناقص	-	N	فَوَاعِي
16:16:4	هدي	ناقص	-	V	يَفْتَعُونَ
16:18:2	عدد	مضاعف	-	V	تَفُعُّوا
16:18:6	حصي	ناقص	-	V	تُفْعُوهَا
16:19:4	سرر	مضاعف	-	V	تُفِعُّونَ
16:1:7	علو	ناقص	-	V	تَفَاعَى
16:21:3	حيي	لفيف	-	N	أَفْعَاء
16:22:6	امن	صحيح سالم	0	V	يُؤْمِنُونَ
16:23:12	حبب	مضاعف	-	V	يُفِعّ
16:23:7	سرر	مضاعف	-	V	يُفِعُّونَ
16:24:2	قول	أجوف	-	V	فِيل
16:24:6	ربب	مضاعف	-	N	فَعُّكُمْ
16:24:7	قول	أجوف	-	V	فَالُعا
16:25:13	سوا	أجوف	2	V	فَاء
16:25:15	وزر	مثال	-	V	يَزِرُفنَ
16:25:5	قوم	أجوف	-	N	فِيَامَة
16:25:9	ضلل	مضاعف	-	V	يُفِعُّونَهُمْ
16:26:11	خرر	مضاعف	-	V	فَعّ
16:26:16	اتي	ناقص	0	V	فَعَاهُمُ
16:27:10	شقق	مضاعف	-	V	تُفَاعُّونَ
16:27:12	قول	أجوف	-	V	فَال
16:27:14	اتي	ناقص	0	V	فُوعُوا
16:27:19	سوا	أجوف	2	N	فُعء
16:27:3	قوم	أجوف	-	N	فِيَامَة
16:27:9	كون	أجوف	-	V	فُنْتُمْ
16:28:12	سوا	أجوف	2	N	فُعء
16:28:18	كون	أجوف	-	V	فُنْتُمْ
16:28:2	وفي	لفيف	-	V	تَتَفَعَّاهُمُ
16:28:6	لقي	ناقص	-	V	أَفْعَوُا
16:28:9	كون	أجوف	-	V	فُنَّا
16:29:6	باس	صحيح سالم	1	V	فِئْس
16:2:18	وقي	لفيف	-	V	اتَّقُفنِ
16:2:8	شيا	أجوف	2	V	يَفَاء
16:30:1	قول	أجوف	-	V	فِيل
16:30:13	دنو	ناقص	-	N	فُعْيَا
16:30:15	دور	أجوف	-	N	فَار
16:30:19	دور	أجوف	-	N	فَار
16:30:20	وقي	لفيف	-	N	مُتَّقِين
16:30:3	وقي	لفيف	-	V	اتَّقَفْا
16:30:6	ربب	مضاعف	-	N	فَعُّكُمْ
16:30:7	قول	أجوف	-	V	فَالُعا
16:31:1	جنن	مضاعف	-	N	فَعَّات
16:31:11	شيا	أجوف	2	V	يَفَاءُونَ
16:31:15	وقي	لفيف	-	N	مُتَّقِين
16:32:11	كون	أجوف	-	V	فُنْتُمْ
16:32:2	وفي	لفيف	-	V	تَتَفَعَّاهُمُ
16:32:9	جنن	مضاعف	-	PN	فَعَّة
16:33:10	ربب	مضاعف	-	N	فَعِّكَ
16:33:20	كون	أجوف	-	V	فَانُعا
16:34:1	صوب	أجوف	-	V	أَفَابَهُمْ
16:34:10	هزا	صحيح سالم	2	V	يَسْتَفْعِئُونَ
16:34:2	سوا	أجوف	2	N	فَيِّئَات
16:34:5	حيق	أجوف	-	V	فَاق
16:34:8	كون	أجوف	-	V	فَانُعا
16:35:1	قول	أجوف	-	V	فَال
16:35:12	شيا	أجوف	2	N	فَعْء
16:35:15	ابو	ناقص	0	N	فعَاؤُنَا
16:35:21	شيا	أجوف	2	N	فَعْء
16:35:5	شيا	أجوف	2	V	فَاء
16:36:11	طغي	ناقص	-	N	فَاعُوت
16:36:18	حقق	مضاعف	-	V	فَعَّت
16:36:20	ضلل	مضاعف	-	N	فَعَالَة
16:36:26	كون	أجوف	-	V	فَان
16:36:4	كلل	مضاعف	-	N	فُعّ
16:36:5	امم	مضاعف	0	N	فُعَّة
16:37:10	ضلل	مضاعف	-	V	يُفِعّ
16:37:4	هدي	ناقص	-	N	فُعَاهُمْ
16:38:13	حقق	مضاعف	-	N	فَعًّا
16:38:16	نوس	أجوف	-	N	فَاس
16:39:10	كون	أجوف	-	V	فَانُعا
16:3:4	حقق	مضاعف	-	N	فَعّ
16:3:5	علو	ناقص	-	V	تَفَاعَى
16:40:3	شيا	أجوف	2	N	فَعْء
16:40:5	رود	أجوف	-	V	أَفَدْنَاهُ
16:40:9	كون	أجوف	-	V	فُن
16:41:11	دنو	ناقص	-	N	فُعْيَا
16:41:17	كون	أجوف	-	V	فَانُعا
16:41:9	بوا	أجوف	2	V	نُفَعِّئَنَّهُمْ
16:42:4	ربب	مضاعف	-	N	فَعِّهِمْ
16:43:13	كون	أجوف	-	V	فُنْتُمْ
