ref	word	relation	relation_ar	reason
7:135:10	هُمْ	sur	فجاءة	no-case:فجاءة:PRON
7:137:19	بِمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
7:138:17	كَمَا	gen	مجرور	non-nominal-pos:SUB:مجرور
7:139:5	هُمْ	sub	صلة	no-case:صلة:PRON
7:142:20	وَلَا	root	root	non-nominal-pos:PRO:root
7:143:6	رَبُّهُۥ	Subj	مفعول به	case-conflict:مفعول به
7:143:13	لَن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
7:143:15	وَلَٰكِنِ	root	root	non-nominal-pos:AMD:root
7:143:19	فَإِنِ	root	root	non-nominal-pos:COND:root
7:143:22	فَسَوْفَ	fut	استقبال	non-nominal-pos:FUT:استقبال
7:143:36	سُبْحَٰنَكَ	cog	فاعل	case-conflict:فاعل
7:145:5	مِن	Obj	مفعول به	prep-in-nominal-slot:مفعول به
7:146:10	وَإِن	root	root	non-nominal-pos:COND:root
7:146:14	لَّا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
7:146:17	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
7:146:21	لَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
7:146:24	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
7:147:8	هَلْ	root	root	non-nominal-pos:INTG:root
7:147:10	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:148:12	أَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
7:148:15	لَا	pred<<an>>	خبر أن	non-nominal-pos:NEG:خبر أن
7:148:17	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
7:149:7	قَدْ	pred<<an>>	خبر أن	non-nominal-pos:CERT:خبر أن
7:149:10	لَئِن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
7:149:11	لَّمْ	cond	شرط	non-nominal-pos:NEG:شرط
7:149:13	رَبُّنَا	Subj	مفعول به	case-conflict:مفعول به
7:150:1	وَلَمَّا	link	متعلق	no-case:متعلق:T
7:150:31	فَلَا	root	root	non-nominal-pos:PRO:root
7:150:35	وَلَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
7:154:5	ٱلْغَضَبُ	Subj	مفعول به	case-conflict:مفعول به
7:154:13	هُمْ	sub	صلة	no-case:صلة:PRON
7:155:3	قَوْمَهُۥ	gen	مجرور	case-conflict:مجرور
7:155:9	ٱلرَّجْفَةُ	Subj	مفعول به	case-conflict:مفعول به
7:155:12	لَوْ	root	root	non-nominal-pos:COND:root
7:155:23	إِنْ	root	root	non-nominal-pos:NEG:root
7:155:24	هِىَ	neg	نفي	no-case:نفي:PRON
7:155:25	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:156:7	وَفِى	conj	متعلق	tabi-non-nominal:P:متعلق
7:156:13	عَذَابِىٓ	Obj	مفعول به	case-conflict:مفعول به
7:156:28	هُم	sub	صلة	no-case:صلة:PRON
7:158:14	لَآ	root	root	non-nominal-pos:NEG:root
7:158:16	إِلَّا	exp	مستثني	non-nominal-pos:EXP:مستثني
7:160:9	إِذِ	link	متعلق	no-case:متعلق:T
7:160:11	قَوْمُهُۥٓ	Subj	مفعول به	case-conflict:مفعول به
7:160:12	أَنِ	link	متعلق	non-nominal-pos:SUB:متعلق
7:160:18	ٱثْنَتَا	Subj	فاعل	case-conflict:فاعل
7:160:21	قَدْ	root	root	non-nominal-pos:CERT:root
7:160:25	مَّشْرَبَهُمْ	Obj	مضاف إليه	case-conflict:مضاف إليه
7:160:38	وَمَا	root	root	non-nominal-pos:NEG:root
7:160:40	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
7:161:1	وَإِذْ	link	متعلق	no-case:متعلق:T
7:161:9	حَيْثُ	link	متعلق	no-case:متعلق:LOC
7:163:14	حِيتَانُهُمْ	Subj	مفعول به	case-conflict:مفعول به
7:163:18	وَيَوْمَ	root	root	case-conflict:root
7:163:19	لَا	Poss	مضاف إليه	non-nominal-pos:NEG:مضاف إليه
7:163:21	لَا	root	root	non-nominal-pos:NEG:root
7:164:5	لِمَ	gen	مجرور	non-nominal-pos:INTG:مجرور
7:164:8	ٱللَّهُ	Poss	مضاف إليه	case-conflict:مضاف إليه
7:167:17	وَإِنَّهُۥ	conj	معطوف	tabi-non-nominal:ACC:معطوف
7:169:14	وَإِن	root	root	non-nominal-pos:COND:root
7:169:19	أَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
7:169:24	أَن	App	بدل	tabi-non-nominal:SUB:بدل
7:169:25	لَّا	sub	صلة	non-nominal-pos:NEG:صلة
7:169:29	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:169:39	أَفَلَا	intg	استفهام	non-nominal-pos:NEG:استفهام
7:170:7	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
7:172:7	مِن	App	متعلق	tabi-non-nominal:P:متعلق
7:172:16	بَلَىٰ	Obj	مفعول به	non-nominal-pos:ANS:مفعول به
7:172:18	أَن	prp	المفعول لأجله	non-nominal-pos:SUB:المفعول لأجله
7:176:1	وَلَوْ	root	root	non-nominal-pos:COND:root
7:176:14	إِن	root	root	non-nominal-pos:COND:root
7:177:3	ٱلْقَوْمُ	Pred	مضاف إليه	case-conflict:مضاف إليه
7:178:1	مَن	root	root	non-nominal-pos:COND:root
7:178:4	فَهُوَ	rslt	جواب الشرط	no-case:جواب الشرط:PRON
7:178:6	وَمَن	conj	معطوف	tabi-non-nominal:COND:معطوف
7:178:8	فَأُو۟لَٰٓئِكَ	rslt	جواب الشرط	no-case:جواب الشرط:DEM
7:179:1	وَلَقَدْ	root	root	non-nominal-pos:CERT:root
7:179:10	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
7:179:15	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
7:179:20	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
7:179:25	بَلْ	root	root	non-nominal-pos:RET:root
7:179:26	هُمْ	ret	اضراب	no-case:اضراب:PRON
7:182:7	لَا	Poss	مضاف إليه	non-nominal-pos:NEG:مضاف إليه
7:184:1	أَوَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
7:184:3	مَا	root	root	non-nominal-pos:NEG:root
7:184:7	إِنْ	root	root	non-nominal-pos:NEG:root
7:184:8	هُوَ	neg	نفي	no-case:نفي:PRON
7:184:9	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:185:1	أَوَلَمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
7:185:12	وَأَنْ	root	root	non-nominal-pos:SUB:root
7:185:14	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
7:185:16	قَدِ	pred <<ykon>>	خبر يكون	non-nominal-pos:CERT:خبر يكون
7:186:1	مَن	root	root	non-nominal-pos:COND:root
7:186:4	فَلَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
7:187:4	أَيَّانَ	link	متعلق	non-nominal-pos:INTG:متعلق
7:187:11	لَا	root	root	non-nominal-pos:NEG:root
7:187:14	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:187:20	لَا	root	root	non-nominal-pos:NEG:root
7:187:22	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:187:36	لَا	pred <<lakun>>	خبر لاكن	non-nominal-pos:NEG:خبر لاكن
7:188:2	لَّآ	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
7:188:6	وَلَا	emph	توكيد	tabi-non-nominal:NEG:توكيد
7:188:8	إِلَّا	root	root	non-nominal-pos:EXP:root
7:188:12	وَلَوْ	root	root	non-nominal-pos:COND:root
7:188:19	وَمَا	root	root	non-nominal-pos:NEG:root
7:188:21	ٱلسُّوٓءُ	Subj	مفعول به	case-conflict:مفعول به
7:188:22	إِنْ	root	root	non-nominal-pos:NEG:root
7:188:23	أَنَا۠	neg	نفي	no-case:نفي:PRON
7:188:24	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
7:189:24	لَئِنْ	root	root	non-nominal-pos:COND:root
7:190:1	فَلَمَّآ	link	متعلق	no-case:متعلق:T
7:191:3	لَا	sub	صلة	non-nominal-pos:NEG:صلة
7:192:1	وَلَا	root	root	non-nominal-pos:NEG:root
7:192:5	وَلَآ	conj	معطوف	tabi-non-nominal:NEG:معطوف
7:193:1	وَإِن	root	root	non-nominal-pos:COND:root
7:193:5	لَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
7:194:12	إِن	root	root	non-nominal-pos:COND:root
7:195:25	فَلَا	root	root	non-nominal-pos:PRO:root
7:197:5	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
7:197:8	وَلَآ	conj	معطوف	tabi-non-nominal:NEG:معطوف
7:198:1	وَإِن	root	root	non-nominal-pos:COND:root
7:198:5	لَا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
7:198:11	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
7:200:1	وَإِمَّا	root	root	non-nominal-pos:COND:root
7:200:9	سَمِيعٌ	pred<<in>>	اسم إن	case-conflict:اسم إن
7:201:10	فَإِذَا	root	root	non-nominal-pos:SUR:root
7:201:11	هُم	sur	فجاءة	no-case:فجاءة:PRON
7:202:6	لَا	root	root	non-nominal-pos:NEG:root
7:203:2	لَمْ	cond	شرط	non-nominal-pos:NEG:شرط
7:203:6	لَوْلَا	Obj	مفعول به	non-nominal-pos:EXH:مفعول به
7:204:1	وَإِذَا	root	root	non-nominal-pos:COND:root
7:205:13	وَلَا	root	root	non-nominal-pos:PRO:root
7:206:5	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
8:1:5	ٱلْأَنفَالُ	Obj	مفعول به	case-conflict:مفعول به
8:1:16	إِن	root	root	non-nominal-pos:COND:root
8:2:4	إِذَا	sub	صلة	no-case:صلة:T
8:5:1	كَمَآ	gen	مجرور	non-nominal-pos:SUB:مجرور
8:5:3	رَبُّكَ	Subj	مفعول به	case-conflict:مفعول به
8:6:4	بَعْدَمَا	link	متعلق	no-case:متعلق:T
8:7:6	أَنَّهَا	App	بدل	tabi-non-nominal:ACC:بدل
8:7:17	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
8:8:5	وَلَوْ	root	root	non-nominal-pos:COND:root
8:10:1	وَمَا	root	root	non-nominal-pos:NEG:root
8:10:4	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
8:10:9	وَمَا	root	root	non-nominal-pos:NEG:root
8:10:11	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
8:13:6	وَمَن	root	root	non-nominal-pos:COND:root
8:15:9	فَلَا	rslt	جواب الشرط	non-nominal-pos:PRO:جواب الشرط
8:16:1	وَمَن	root	root	non-nominal-pos:COND:root
8:16:3	يَوْمَئِذٍ	link	متعلق	no-case:متعلق:T
8:16:5	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
8:16:12	فَقَدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
8:17:1	فَلَمْ	root	root	non-nominal-pos:NEG:root
8:17:6	وَمَا	root	root	non-nominal-pos:NEG:root
8:17:8	إِذْ	link	متعلق	no-case:متعلق:T
8:19:1	إِن	root	root	non-nominal-pos:COND:root
8:19:3	فَقَدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
8:19:5	ٱلْفَتْحُ	Subj	مفعول به	case-conflict:مفعول به
8:19:6	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:19:8	فَهُوَ	rslt	جواب الشرط	no-case:جواب الشرط:PRON
8:19:11	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:19:14	وَلَن	root	root	non-nominal-pos:NEG:root
8:19:19	وَلَوْ	root	root	non-nominal-pos:COND:root
8:20:7	وَلَا	root	root	non-nominal-pos:PRO:root
8:21:1	وَلَا	conj	معطوف	tabi-non-nominal:PRO:معطوف
8:21:7	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
8:22:9	لَا	sub	صلة	non-nominal-pos:NEG:صلة
8:23:1	وَلَوْ	root	root	non-nominal-pos:COND:root
8:23:7	وَلَوْ	conj	معطوف	tabi-non-nominal:COND:معطوف
8:24:7	إِذَا	link	متعلق	no-case:متعلق:T
8:25:3	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
8:26:2	إِذْ	link	متعلق	no-case:متعلق:T
8:26:9	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
8:26:11	ٱلنَّاسُ	Subj	مفعول به	case-conflict:مفعول به
8:27:4	لَا	root	root	non-nominal-pos:PRO:root
8:29:4	إِن	root	root	non-nominal-pos:COND:root
8:31:6	قَدْ	Obj	مفعول به	non-nominal-pos:CERT:مفعول به
8:31:8	لَوْ	root	root	non-nominal-pos:COND:root
8:31:13	إِنْ	root	root	non-nominal-pos:NEG:root
8:31:14	هَٰذَآ	neg	نفي	no-case:نفي:DEM
8:31:15	إِلَّآ	res	حصر	non-nominal-pos:RES:حصر
8:32:4	إِن	root	root	non-nominal-pos:COND:root
8:32:7	هُوَ	-	-	absent-from-treebank:PRON
8:33:1	وَمَا	root	root	non-nominal-pos:NEG:root
8:33:7	وَمَا	conj	معطوف	tabi-non-nominal:NEG:معطوف
8:34:1	وَمَا	root	root	non-nominal-pos:INTG:root
8:34:3	أَلَّا	Pred	خبر	non-nominal-pos:SUB:خبر
8:34:11	وَمَا	root	root	non-nominal-pos:NEG:root
8:34:14	إِنْ	root	root	non-nominal-pos:NEG:root
8:34:16	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
8:34:20	لَا	pred <<lakun>>	خبر لاكن	non-nominal-pos:NEG:خبر لاكن
8:35:1	وَمَا	root	root	non-nominal-pos:NEG:root
8:35:6	إِلَّا	res	حصر	non-nominal-pos:RES:حصر
8:38:4	إِن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
8:38:9	قَدْ	sub	صلة	non-nominal-pos:CERT:صلة
8:38:11	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:38:13	فَقَدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
8:39:3	لَا	gen	مجرور	non-nominal-pos:NEG:مجرور
8:39:10	فَإِنِ	root	root	non-nominal-pos:COND:root
8:40:1	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:41:16	إِن	root	root	non-nominal-pos:COND:root
8:41:20	وَمَآ	conj	معطوف	tabi-non-nominal:SUB:معطوف
8:42:11	وَلَوْ	root	root	non-nominal-pos:COND:root
8:42:16	وَلَٰكِن	root	root	non-nominal-pos:AMD:root
8:43:7	وَلَوْ	root	root	non-nominal-pos:COND:root
8:44:3	إِذِ	link	متعلق	no-case:متعلق:T
8:46:4	وَلَا	root	root	non-nominal-pos:PRO:root
8:47:1	وَلَا	root	root	non-nominal-pos:PRO:root
8:48:7	لَا	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
8:48:29	لَا	sub	صلة	non-nominal-pos:NEG:صلة
8:49:11	وَمَن	root	root	non-nominal-pos:COND:root
8:50:1	وَلَوْ	root	root	non-nominal-pos:COND:root
8:50:3	إِذْ	link	متعلق	no-case:متعلق:T
8:50:7	ٱلْمَلَٰٓئِكَةُ	Subj	مفعول به	case-conflict:مفعول به
8:52:16	شَدِيدُ	pred<<in>>	اسم إن	case-conflict:اسم إن
8:53:4	لَمْ	pred<<an>>	خبر أن	non-nominal-pos:NEG:خبر أن
8:55:9	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
8:56:11	لَا	Pred	خبر	non-nominal-pos:NEG:خبر
8:57:1	فَإِمَّا	root	root	non-nominal-pos:COND:root
8:58:1	وَإِمَّا	root	root	non-nominal-pos:COND:root
8:58:12	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
8:59:1	وَلَا	root	root	non-nominal-pos:NEG:root
8:59:7	لَا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
8:60:7	وَمِن	conj	معطوف	tabi-non-nominal:P:معطوف
8:60:18	لَا	Adj	صفة	tabi-non-nominal:NEG:صفة
8:60:22	وَمَا	root	root	non-nominal-pos:COND:root
8:60:32	لَا	Pred	خبر	non-nominal-pos:PRO:خبر
8:61:1	وَإِن	root	root	non-nominal-pos:COND:root
8:62:1	وَإِن	root	root	non-nominal-pos:COND:root
8:62:3	أَن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
8:63:4	لَوْ	root	root	non-nominal-pos:COND:root
8:63:10	مَّآ	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
8:65:7	إِن	root	root	non-nominal-pos:COND:root
8:65:14	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:65:25	لَّا	Adj	صفة	tabi-non-nominal:NEG:صفة
8:66:9	فَإِن	root	root	non-nominal-pos:COND:root
8:66:16	وَإِن	conj	معطوف	tabi-non-nominal:COND:معطوف
8:67:1	مَا	root	root	non-nominal-pos:NEG:root
8:67:4	أَن	subj <<kan>>	اسم كان	non-nominal-pos:SUB:اسم كان
8:68:1	لَّوْلَا	root	root	non-nominal-pos:COND:root
8:70:9	إِن	root	root	non-nominal-pos:COND:root
8:71:1	وَإِن	root	root	non-nominal-pos:COND:root
8:71:4	فَقَدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
8:72:20	وَلَمْ	conj	معطوف	tabi-non-nominal:NEG:معطوف
8:72:22	مَا	root	root	non-nominal-pos:NEG:root
8:72:30	وَإِنِ	root	root	non-nominal-pos:COND:root
8:72:36	إِلَّا	root	root	non-nominal-pos:EXP:root
8:73:3	بَعْضُهُمْ	Obj	مفعول به	case-conflict:مفعول به
8:73:6	إِلَّا	root	root	non-nominal-pos:COND:root
9:2:9	مُعْجزى	Poss	مضاف إليه	case-conflict:مضاف إليه
9:2:13	مُخْزى	pred<<an>>	خبر أن	case-conflict:خبر أن
9:3:16	فإن	root	root	non-nominal-pos:COND:root
9:3:18	فهُو	rslt	جواب الشرط	no-case:جواب الشرط:PRON
9:3:21	وإن	conj	معطوف	tabi-non-nominal:COND:معطوف
9:3:26	مُعْجزى	Poss	مضاف إليه	case-conflict:مضاف إليه
9:4:1	إلا	root	root	non-nominal-pos:EXP:root
9:4:7	لمْ	root	root	non-nominal-pos:NEG:root
9:4:10	ولمْ	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:5:7	حيْثُ	link	متعلق	no-case:متعلق:LOC
9:5:15	فإن	root	root	non-nominal-pos:COND:root
9:6:1	وإنْ	conj	root	tabi-non-nominal:COND:root
9:6:17	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
9:7:1	كيْف	circ	حال	non-nominal-pos:INTG:حال
9:7:9	إلا	amd	استدراك	non-nominal-pos:EXP:استدراك
9:8:1	كيْف	circ	حال	non-nominal-pos:INTG:حال
9:8:2	وإن	intg	استفهام	non-nominal-pos:COND:استفهام
9:8:5	لا	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
9:8:9	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
9:10:1	لا	root	root	non-nominal-pos:NEG:root
9:10:6	ولا	emph	معطوف	tabi-non-nominal:NEG:معطوف
9:10:10	الْمُعْتدُون	Pred	خبر	case-conflict:خبر
9:11:1	فإن	root	root	non-nominal-pos:COND:root
9:11:11	الْءايت	Obj	مفعول به	case-conflict:مفعول به
9:12:1	وإن	conj	معطوف	tabi-non-nominal:COND:معطوف
9:12:14	لا	pred<<in>>	خبر إن	non-nominal-pos:NEG:خبر إن
9:13:1	ألا	intg	استفهام	non-nominal-pos:NEG:استفهام
9:13:16	أن	link	متعلق	non-nominal-pos:SUB:متعلق
9:13:18	إن	root	root	non-nominal-pos:COND:root
9:16:3	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
9:16:5	ولما	root	root	non-nominal-pos:NEG:root
9:16:11	ولمْ	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:16:16	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
9:16:18	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
9:17:1	ما	root	root	non-nominal-pos:NEG:root
9:17:4	أن	root	root	non-nominal-pos:SUB:root
9:18:14	ولمْ	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:18:16	إلا	res	حصر	non-nominal-pos:RES:حصر
9:18:20	أن	pred <<easaa>>	خبر عسى	non-nominal-pos:SUB:خبر عسى
9:19:16	لا	ans	جواب	non-nominal-pos:NEG:جواب
9:19:21	لا	Pred	خبر	non-nominal-pos:NEG:خبر
9:23:4	لا	root	root	non-nominal-pos:PRO:root
9:23:9	إن	root	root	non-nominal-pos:COND:root
9:23:14	ومن	root	root	non-nominal-pos:COND:root
9:23:17	فأُولئك	rslt	جواب الشرط	no-case:جواب الشرط:DEM
9:24:2	إن	Obj	مفعول به	non-nominal-pos:COND:مفعول به
9:24:30	لا	Pred	خبر	non-nominal-pos:NEG:خبر
9:25:1	لقدْ	root	root	non-nominal-pos:CERT:root
9:25:12	فلمْ	root	root	non-nominal-pos:NEG:root
9:26:11	لمْ	Adj	صفة	tabi-non-nominal:NEG:صفة
9:28:7	فلا	imrs	جواب أمر	non-nominal-pos:PRO:جواب أمر
9:28:14	وإنْ	root	root	non-nominal-pos:COND:root
9:28:17	فسوْف	fut	استقبال	non-nominal-pos:FUT:استقبال
9:28:22	إن	root	root	non-nominal-pos:COND:root
9:29:3	لا	sub	صلة	non-nominal-pos:NEG:صلة
9:29:6	ولا	emph	توكيد	tabi-non-nominal:NEG:توكيد
9:29:9	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:29:15	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:30:3	عُزيْر	Obj	مفعول به	case-conflict:مفعول به
9:30:8	الْمسيحُ	Obj	مفعول به	case-conflict:مفعول به
9:30:22	أنى	link	متعلق	non-nominal-pos:INTG:متعلق
9:31:10	مرْيم	Poss	مضاف إليه	case-conflict:مضاف إليه
9:31:11	وما	root	root	non-nominal-pos:NEG:root
9:31:13	إلا	cert	تحقيق	non-nominal-pos:RES:تحقيق
9:31:17	لا	Adj	صفة	tabi-non-nominal:NEG:صفة
9:31:19	إلا	exp	مستثني	non-nominal-pos:EXP:مستثني
9:32:2	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
9:32:9	إلا	Obj	مفعول به	non-nominal-pos:RES:مفعول به
9:32:10	أن	Poss	مضاف إليه	non-nominal-pos:SUB:مضاف إليه
9:32:13	ولوْ	circ	حال	non-nominal-pos:SUB:حال
9:33:12	ولوْ	circ	حال	non-nominal-pos:SUB:حال
9:34:17	والذين	root	root	non-nominal-pos:COND:root
9:34:21	ولا	root	root	non-nominal-pos:NEG:root
9:35:3	عليْها	Pass	نائب فاعل	prep-in-nominal-slot:نائب فاعل
9:36:14	السموت	Obj	مفعول به	case-conflict:مفعول به
9:36:22	فلا	root	root	non-nominal-pos:PRO:root
9:36:29	كما	gen	مجرور	non-nominal-pos:SUB:مجرور
9:37:28	لا	Pred	خبر	non-nominal-pos:NEG:خبر
9:38:4	ما	root	root	non-nominal-pos:INTG:root
9:38:21	فما	root	root	non-nominal-pos:NEG:root
9:38:27	إلا	res	حصر	non-nominal-pos:RES:حصر
9:39:1	إلا	root	root	non-nominal-pos:RES:root
9:39:9	ولا	root	root	non-nominal-pos:PRO:root
9:40:1	إلا	root	root	non-nominal-pos:RES:root
9:40:3	فقدْ	rslt	جواب الشرط	non-nominal-pos:CERT:جواب الشرط
9:40:6	إذْ	link	متعلق	no-case:متعلق:T
9:40:19	لا	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
9:40:30	لمْ	Adj	صفة	tabi-non-nominal:NEG:صفة
9:40:36	السُفْلى	Obj	مفعول به	case-conflict:مفعول به
9:41:13	إن	root	root	non-nominal-pos:COND:root
9:42:1	لوْ	root	root	non-nominal-pos:COND:root
9:42:8	ولكن	root	root	non-nominal-pos:AMD:root
9:42:14	لو	Obj	مفعول به	non-nominal-pos:COND:مفعول به
9:43:4	لم	gen	مجرور	non-nominal-pos:INTG:مجرور
9:44:1	لا	root	root	non-nominal-pos:NEG:root
9:44:8	أن	link	متعلق	non-nominal-pos:SUB:متعلق
9:45:4	لا	sub	صلة	non-nominal-pos:NEG:صلة
9:46:1	ولوْ	root	root	non-nominal-pos:COND:root
9:46:7	ولكن	root	root	non-nominal-pos:AMD:root
9:47:1	لوْ	root	root	non-nominal-pos:COND:root
9:47:4	ما	rslt	جواب الشرط	non-nominal-pos:NEG:جواب الشرط
9:47:6	إلا	root	root	non-nominal-pos:EXP:root
9:47:13	سمعُون	circ	حال	case-conflict:حال
9:48:1	لقد	root	root	non-nominal-pos:CERT:root
9:48:8	الْأُمُور	Obj	root	case-conflict:root
9:48:9	حتى	link	متعلق	non-nominal-pos:INC:متعلق
9:49:6	ولا	root	root	non-nominal-pos:NEG:root
9:49:8	ألا	root	root	non-nominal-pos:INC:root
9:49:13	جهنم	subj<<in>>	اسم إن	case-conflict:اسم إن
9:50:1	إن	root	root	non-nominal-pos:COND:root
9:50:5	وإن	conj	معطوف	tabi-non-nominal:COND:معطوف
9:50:9	قدْ	Obj	مفعول به	non-nominal-pos:CERT:مفعول به
9:51:2	لن	Obj	مفعول به	non-nominal-pos:NEG:مفعول به
9:51:4	إلا	res	حصر	non-nominal-pos:RES:حصر
9:51:10	موْلىنا	Pred	خبر	case-conflict:خبر
9:52:2	هلْ	Obj	مفعول به	non-nominal-pos:INTG:مفعول به
9:52:5	إلا	res	حصر	non-nominal-pos:RES:حصر
9:52:6	إحْدى	Obj	مفعول به	case-conflict:مفعول به
9:52:7	الْحُسْنييْن	Poss	مضاف إليه	case-conflict:مضاف إليه
9:52:11	أن	root	root	non-nominal-pos:SUB:root
9:53:6	لن	imrs	جواب أمر	non-nominal-pos:NEG:جواب أمر
9:53:8	منكُمْ	Pass	نائب فاعل	prep-in-nominal-slot:نائب فاعل
9:54:1	وما	root	root	non-nominal-pos:NEG:root
9:54:3	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
9:54:7	إلا	res	حصر	non-nominal-pos:RES:حصر
9:54:12	ولا	root	root	non-nominal-pos:NEG:root
9:54:15	إلا	res	حصر	non-nominal-pos:RES:حصر
9:54:18	ولا	conj	معطوف	tabi-non-nominal:NEG:معطوف
9:54:20	إلا	res	حصر	non-nominal-pos:RES:حصر
9:55:1	فلا	root	root	non-nominal-pos:PRO:root
9:55:4	ولا	emph	معطوف	tabi-non-nominal:NEG:معطوف
9:56:5	وما	root	root	non-nominal-pos:NEG:root
9:56:6	هُم	neg	نفي	no-case:نفي:PRON
9:57:1	لوْ	root	root	non-nominal-pos:COND:root
9:58:6	فإنْ	root	root	non-nominal-pos:COND:root
9:58:10	وإن	conj	root	tabi-non-nominal:COND:root
9:58:11	لمْ	cond	شرط	non-nominal-pos:NEG:شرط
9:58:14	إذا	rslt	جواب الشرط	non-nominal-pos:SUR:جواب الشرط
9:58:15	هُمْ	sur	فجاءة	no-case:فجاءة:PRON
9:59:1	ولوْ	conj	root	tabi-non-nominal:COND:root
9:59:9	حسْبُنا	Obj	مفعول به	case-conflict:مفعول به
9:60:9	وفى	conj	معطوف	tabi-non-nominal:P:معطوف
9:60:12	وفى	conj	معطوف	tabi-non-nominal:P:معطوف
9:62:8	أن	link	متعلق	non-nominal-pos:SUB:متعلق
9:62:10	إن	root	root	non-nominal-pos:COND:root
9:63:1	ألمْ	intg	استفهام	non-nominal-pos:NEG:استفهام
9:64:3	أن	Obj	مفعول به	non-nominal-pos:SUB:مفعول به
9:65:1	ولئن	root	root	non-nominal-pos:COND:root
9:66:1	لا	root	root	non-nominal-pos:PRO:root
9:66:3	قدْ	root	root	non-nominal-pos:CERT:root
9:66:7	إن	root	root	non-nominal-pos:COND:root
